year,total_catch_kg,total_effort_vessel_days,cpue_kg_per_vessel_day
2000,247934970.86410946,4049,61233.63073946887
2001,131941257.28968437,3290,40103.725619964855
2002,88205306.02675705,3002,29382.18055521554
2003,121792796.34699652,2899,42012.002879267515
2004,9786551.042163894,1613,6067.297608285117
2005,35721700.20938271,1806,19779.457480278357
2006,127521469.07116917,2447,52113.39152887992
2007,262243372.61447588,2364,110932.05271339927
2008,208636581.9902495,2047,101923.09818771349
2009,56105495.621006146,1351,41528.86426425325
2010,30522687.864073996,1649,18509.81677627289
2011,65337351.06617944,1631,40059.68796209653
2012,78463750.43910569,2146,36562.79144413126
2013,111478226.09719634,2584,43141.728365788054
2014,202437170.8410036,2083,97185.39166634834
2015,247231613.2009664,2290,107961.4031445268
2016,12086298.92371628,1201,10063.529495184246
2017,69442180.8608176,1983,35018.7498037406
2018,57194145.195237115,2100,27235.307235827197
2019,32780500.519951437,1552,21121.456520587264
2020,48212774.72782835,1545,31205.679435487607
