Year,Month,WaterTemp,Depth,SSH,Chlor_a_mg_m3,SqCatch_Kg,WaterTemp_lag1,SSH_lag1,Chlor_a_mg_m3_lag1,SqCatch_Kg_lag1
2018,2,13.309679217517145,113.71017699115045,0.0771,1.5610930919647217,11492922.28149668,13.963235322058823,0.0771,1.227152705192566,37158.571786883
2018,3,12.477121638795463,130.44544387954633,0.0699,0.705287516,33807510.283975884,13.309679217517145,0.0771,1.5610930919647217,11492922.28149668
2018,4,10.536637091881163,139.56854043392505,0.069,0.4961428046226501,10681073.753875855,12.477121638795463,0.0699,0.705287516,33807510.283975884
2018,5,9.49966778944186,138.93023255813952,0.0675,0.2564684152603149,1175480.3041018,10.536637091881163,0.069,0.4961428046226501,10681073.753875855
2019,1,15.333333333333334,193.33333333333334,0.0786,1.2073559761047363,297.48807015,9.49966778944186,0.0675,0.2564684152603149,1175480.3041018
2019,2,11.919051724137931,157.69655172413792,0.0782,1.9631738662719729,9336005.706307368,15.333333333333334,0.0786,1.2073559761047363,297.48807015
2019,3,10.645050335570469,166.1614932885906,0.075,0.6434495449066162,21776987.161655154,11.919051724137931,0.0782,1.9631738662719729,9336005.706307368
2019,4,9.958938547486033,158.62150837988827,0.0737,0.5599123239517212,1660575.751133746,10.645050335570469,0.075,0.6434495449066162,21776987.161655154
2019,5,9.120000000000001,137.1,0.0723,0.171494573,6634.41278502,9.958938547486033,0.0737,0.5599123239517212,1660575.751133746
2020,1,13.778571469285714,118.92857142857143,0.0829,2.8697164058685303,4753.784937629,9.120000000000001,0.0723,0.171494573,6634.41278502
2020,2,11.660165309041323,158.0495867768595,0.0803,3.817046403884888,10432878.09042982,13.778571469285714,0.0829,2.8697164058685303,4753.784937629
2020,3,11.182197138878854,156.3161094224924,0.0765,1.9537570476531985,29632052.79854371,11.660165309041323,0.0803,3.817046403884888,10432878.09042982
2020,4,10.64946054042987,164.16978989210676,0.0759,1.066420078277588,5860282.630633534,11.182197138878854,0.0765,1.9537570476531985,29632052.79854371
2020,5,9.790813677517061,161.68241469816272,0.0753,0.6636585593223572,2282807.423283663,10.64946054042987,0.0759,1.066420078277588,5860282.630633534
