year,total_catch,total_effort,avg_cpue,avg_cpue_log
2000,247934970.86410925,4204,28513.745419393126,4.287085297047631
2001,131941257.28968443,3365,20972.458352326175,4.045010706911419
2002,88205306.02675699,3047,11689.348245678304,3.8417858894568613
2003,121792796.34699649,2912,18514.657979487845,3.967031472820038
2004,9786551.042163894,1607,2933.7843419278124,3.17725116004059
2005,35721700.20938271,1873,10519.712081519889,3.744985263384639
2006,127521469.07116917,2535,27663.355859912725,4.187477813648651
2007,262243372.61447588,2524,48224.21663169255,4.510150366941361
2008,208636581.99024948,2098,48240.74262024343,4.470569103430678
2009,56105495.62100618,1306,18084.697026247984,3.960584276548701
2010,30522687.864073988,1689,7227.477828349272,3.5617655338867342
2011,65337351.066179425,1664,27257.246853755714,4.060421157615693
2012,78463750.4391057,2230,23209.08669126575,4.147825575616325
2013,111478226.09719634,2687,30036.941087079427,4.299964190598436
2014,202437170.8410036,2101,64653.544413604905,4.643518232609472
2015,247231613.2009663,2352,69479.96561507315,4.646547022853528
2016,12086298.923716282,1229,5951.396285051206,3.5160950110633777
2017,69442180.86081767,1984,22485.498535390132,4.094642807722725
2018,57194145.19523709,2110,13707.294898473841,3.8078902692410233
2019,32780500.519951455,1605,10262.492379616664,3.6583768613759653
2020,48212774.72782838,1558,11760.172226489996,3.728953754565147
