ID,pollutant,tissue,concentration,status,outlier,prediction,residual,model_anomaly,final_anomaly_flag
49_14_muscle,Metal_A,muscle,14.51,Detected,no,4.712542126361265,-95.82482766522617,False,False
49_14_liver,Metal_A,liver,70.5,Detected,no,4.712542126361265,-39.83482766522617,False,False
49_14_inksac,Metal_A,inksac,6.95,Detected,no,4.712542126361265,-103.38482766522617,False,False
49_14_stomach,Metal_A,stomach,6235.04,Detected,no,4.712542126361265,6124.705172334774,False,False
49_07_muscle,Metal_A,muscle,14.99,Detected,no,4.712542126361265,-95.34482766522618,False,False
49_07_liver,Metal_A,liver,87.69,Detected,no,4.712542126361265,-22.644827665226174,False,False
49_07_inksac,Metal_A,inksac,60.96,Detected,no,4.712542126361265,-49.37482766522617,False,False
49_07_stomach,Metal_A,stomach,3709.4,Detected,no,4.712542126361265,3599.0651723347737,False,False
49_11_muscle,Metal_A,muscle,16.4,Detected,no,4.712542126361265,-93.93482766522618,False,False
49_11_liver,Metal_A,liver,81.7,Detected,no,4.712542126361265,-28.63482766522617,False,False
49_11_inksac,Metal_A,inksac,74.86,Detected,no,4.712542126361265,-35.47482766522617,False,False
49_11_stomach,Metal_A,stomach,8378.81,Detected,no,4.712542126361265,8268.475172334773,True,True
49_12_muscle,Metal_A,muscle,10.54,Detected,no,4.712542126361265,-99.79482766522617,False,False
49_12_liver,Metal_A,liver,67.66,Detected,no,4.712542126361265,-42.674827665226175,False,False
49_12_inksac,Metal_A,inksac,27.01,Detected,no,4.712542126361265,-83.32482766522617,False,False
49_12_stomach,Metal_A,stomach,7074.96,Detected,no,4.712542126361265,6964.625172334774,False,False
49_15_muscle,Metal_A,muscle,18.51,Detected,no,4.712542126361265,-91.82482766522617,False,False
49_15_liver,Metal_A,liver,92.21,Detected,no,4.712542126361265,-18.124827665226178,False,False
49_15_inksac,Metal_A,inksac,64.92,Detected,no,4.712542126361265,-45.41482766522617,False,False
49_15_stomach,Metal_A,stomach,5934.23,Detected,no,4.712542126361265,5823.895172334774,False,False
49_10_muscle,Metal_A,muscle,8.86,Detected,no,4.712542126361265,-101.47482766522617,False,False
49_13_muscle,Metal_A,muscle,10.29,Detected,no,4.712542126361265,-100.04482766522617,False,False
49_10_liver,Metal_A,liver,65.87,Detected,no,4.712542126361265,-44.46482766522617,False,False
49_13_liver,Metal_A,liver,70.05,Detected,no,4.712542126361265,-40.284827665226175,False,False
49_10_inksac,Metal_A,inksac,16.0,Detected,no,4.712542126361265,-94.33482766522617,False,False
49_13_inksac,Metal_A,inksac,29.74,Detected,no,4.712542126361265,-80.59482766522618,False,False
49_10_stomach,Metal_A,stomach,1296.54,Detected,no,4.712542126361265,1186.2051723347738,False,False
49_13_stomach,Metal_A,stomach,2953.64,Detected,no,4.712542126361265,2843.3051723347735,False,False
49_08_muscle,Metal_A,muscle,18.87,Detected,no,4.712542126361265,-91.46482766522617,False,False
49_08_liver,Metal_A,liver,56.63,Detected,no,4.712542126361265,-53.70482766522617,False,False
49_08_inksac,Metal_A,inksac,64.31,Detected,no,4.712542126361265,-46.02482766522617,False,False
49_08_stomach,Metal_A,stomach,2573.67,Detected,no,4.712542126361265,2463.3351723347737,False,False
60_10_muscle,Metal_A,muscle,0.8,BLOD,no,3.691352529514493,-38.29904543896059,False,False
60_10_liver,Metal_A,liver,3.67,Detected,no,3.691352529514493,-35.429045438960586,False,False
60_10_stomach,Metal_A,stomach,1540.66,Detected,no,3.691352529514493,1501.5609545610396,False,False
49_06_muscle,Metal_A,muscle,11.19,Detected,no,4.712542126361265,-99.14482766522617,False,False
49_06_liver,Metal_A,liver,96.71,Detected,no,4.712542126361265,-13.624827665226178,False,False
49_06_inksac,Metal_A,inksac,69.71,Detected,no,4.712542126361265,-40.62482766522618,False,False
49_06_stomach,Metal_A,stomach,5996.68,Detected,no,4.712542126361265,5886.345172334774,False,False
60_09_muscle,Metal_A,muscle,0.82,BLOD,no,3.691352529514493,-38.27904543896059,False,False
60_09_liver,Metal_A,liver,0.43,Detected,no,3.691352529514493,-38.66904543896059,False,False
60_09_inksac,Metal_A,inksac,53.7,Detected,no,3.691352529514493,14.600954561039416,False,False
60_09_stomach,Metal_A,stomach,3813.94,Detected,no,3.691352529514493,3774.8409545610393,False,False
49_09_muscle,Metal_A,muscle,16.59,Detected,no,4.712542126361265,-93.74482766522617,False,False
49_09_liver,Metal_A,liver,111.33,Detected,no,4.712542126361265,0.9951723347738266,False,False
49_09_inksac,Metal_A,inksac,45.58,Detected,no,4.712542126361265,-64.75482766522617,False,False
49_09_stomach,Metal_A,stomach,3000.45,Detected,no,4.712542126361265,2890.1151723347734,False,False
65_07_muscle,Metal_A,muscle,0.81,BLOD,no,3.516789704622431,-31.8661443742723,False,False
65_07_liver,Metal_A,liver,1.78,Detected,no,3.516789704622431,-30.896144374272296,False,False
65_07_inksac,Metal_A,inksac,64.59,Detected,no,3.516789704622431,31.913855625727706,False,False
65_07_stomach,Metal_A,stomach,3759.7,Detected,no,3.516789704622431,3727.0238556257277,False,False
65_06_muscle,Metal_A,muscle,0.78,BLOD,no,3.516789704622431,-31.896144374272296,False,False
65_06_liver,Metal_A,liver,2.15,Detected,no,3.516789704622431,-30.5261443742723,False,False
65_06_inksac,Metal_A,inksac,8.12,Detected,no,3.516789704622431,-24.5561443742723,False,False
65_06_stomach,Metal_A,stomach,1538.23,Detected,no,3.516789704622431,1505.5538556257277,False,False
65_08_muscle,Metal_A,muscle,0.72,BLOD,no,3.516789704622431,-31.9561443742723,False,False
65_08_liver,Metal_A,liver,2.03,Detected,no,3.516789704622431,-30.646144374272296,False,False
65_08_stomach,Metal_A,stomach,4532.01,Detected,no,3.516789704622431,4499.333855625728,False,False
60_08_muscle,Metal_A,muscle,0.82,BLOD,no,3.691352529514493,-38.27904543896059,False,False
60_08_liver,Metal_A,liver,0.04,Detected,no,3.691352529514493,-39.05904543896059,False,False
60_08_inksac,Metal_A,inksac,212.5,Detected,yes,3.691352529514493,173.4009545610394,False,True
60_08_stomach,Metal_A,stomach,3591.76,Detected,no,3.691352529514493,3552.6609545610395,False,False
60_12_muscle,Metal_A,muscle,0.82,BLOD,no,3.691352529514493,-38.27904543896059,False,False
60_12_liver,Metal_A,liver,1.32,Detected,no,3.691352529514493,-37.77904543896059,False,False
60_12_inksac,Metal_A,inksac,56.82,Detected,no,3.691352529514493,17.720954561039413,False,False
60_12_stomach,Metal_A,stomach,6443.75,Detected,no,3.691352529514493,6404.65095456104,False,False
60_01_muscle,Metal_A,muscle,0.83,BLOD,no,3.691352529514493,-38.26904543896059,False,False
60_01_liver,Metal_A,liver,4.89,Detected,no,3.691352529514493,-34.20904543896059,False,False
60_01_inksac,Metal_A,inksac,58.43,Detected,no,3.691352529514493,19.330954561039412,False,False
60_01_stomach,Metal_A,stomach,1589.72,Detected,no,3.691352529514493,1550.6209545610395,False,False
65_01_muscle,Metal_A,muscle,0.78,BLOD,no,3.516789704622431,-31.896144374272296,False,False
65_01_liver,Metal_A,liver,4.61,Detected,no,3.516789704622431,-28.066144374272298,False,False
65_01_stomach,Metal_A,stomach,1582.34,Detected,no,3.516789704622431,1549.6638556257276,False,False
28_12_muscle,Metal_A,muscle,7.26,Detected,no,5.27518968323683,-187.1675423258521,False,False
28_12_liver,Metal_A,liver,86.43,Detected,no,5.27518968323683,-107.9975423258521,False,False
28_12_stomach,Metal_A,stomach,11396.88,Detected,no,5.27518968323683,11202.452457674148,True,True
65_15_muscle,Metal_A,muscle,0.87,BLOD,no,3.516789704622431,-31.806144374272296,False,False
65_15_liver,Metal_A,liver,0.23,Detected,no,3.516789704622431,-32.4461443742723,False,False
65_15_inksac,Metal_A,inksac,28.09,Detected,no,3.516789704622431,-4.586144374272298,False,False
65_15_stomach,Metal_A,stomach,1695.69,Detected,no,3.516789704622431,1663.0138556257277,False,False
65_09_muscle,Metal_A,muscle,0.76,BLOD,no,3.516789704622431,-31.916144374272296,False,False
65_09_liver,Metal_A,liver,4.6,Detected,no,3.516789704622431,-28.076144374272296,False,False
65_09_inksac,Metal_A,inksac,102.29,Detected,no,3.516789704622431,69.61385562572771,False,False
65_09_stomach,Metal_A,stomach,2131.87,Detected,no,3.516789704622431,2099.193855625728,False,False
65_02_muscle,Metal_A,muscle,0.85,BLOD,no,3.516789704622431,-31.826144374272296,False,False
65_12_muscle,Metal_A,muscle,0.76,BLOD,no,3.516789704622431,-31.916144374272296,False,False
65_02_liver,Metal_A,liver,3.28,Detected,no,3.516789704622431,-29.396144374272296,False,False
65_12_liver,Metal_A,liver,2.64,Detected,no,3.516789704622431,-30.036144374272297,False,False
65_02_inksac,Metal_A,inksac,56.37,Detected,no,3.516789704622431,23.6938556257277,False,False
65_12_inksac,Metal_A,inksac,9.02,Detected,no,3.516789704622431,-23.656144374272298,False,False
65_02_stomach,Metal_A,stomach,6237.51,Detected,no,3.516789704622431,6204.833855625728,False,False
65_12_stomach,Metal_A,stomach,4669.97,Detected,no,3.516789704622431,4637.293855625728,False,False
60_11_muscle,Metal_A,muscle,0.79,BLOD,no,3.691352529514493,-38.30904543896059,False,False
60_11_liver,Metal_A,liver,0.8,BLOD,no,3.691352529514493,-38.29904543896059,False,False
60_11_inksac,Metal_A,inksac,64.63,Detected,no,3.691352529514493,25.530954561039408,False,False
60_11_stomach,Metal_A,stomach,7530.67,Detected,no,3.691352529514493,7491.57095456104,False,False
60_14_muscle,Metal_A,muscle,0.78,BLOD,no,3.691352529514493,-38.319045438960586,False,False
60_14_liver,Metal_A,liver,2.43,Detected,no,3.691352529514493,-36.66904543896059,False,False
60_14_inksac,Metal_A,inksac,39.46,Detected,no,3.691352529514493,0.3609545610394136,False,False
60_14_stomach,Metal_A,stomach,7413.39,Detected,no,3.691352529514493,7374.29095456104,False,False
60_05_muscle,Metal_A,muscle,0.84,BLOD,no,3.691352529514493,-38.259045438960584,False,False
60_05_liver,Metal_A,liver,1.2,Detected,no,3.691352529514493,-37.899045438960584,False,False
60_05_inksac,Metal_A,inksac,68.98,Detected,no,3.691352529514493,29.880954561039417,False,False
60_05_stomach,Metal_A,stomach,6561.83,Detected,no,3.691352529514493,6522.73095456104,False,False
65_11_muscle,Metal_A,muscle,0.83,BLOD,no,3.516789704622431,-31.8461443742723,False,False
65_11_liver,Metal_A,liver,0.31,Detected,no,3.516789704622431,-32.366144374272295,False,False
65_11_inksac,Metal_A,inksac,10.91,Detected,no,3.516789704622431,-21.766144374272297,False,False
65_11_stomach,Metal_A,stomach,3202.86,Detected,no,3.516789704622431,3170.183855625728,False,False
60_13_muscle,Metal_A,muscle,0.83,BLOD,no,3.691352529514493,-38.26904543896059,False,False
65_10_muscle,Metal_A,muscle,0.84,BLOD,no,3.516789704622431,-31.836144374272298,False,False
60_13_liver,Metal_A,liver,4.2,Detected,no,3.691352529514493,-34.899045438960584,False,False
65_10_liver,Metal_A,liver,2.19,Detected,no,3.516789704622431,-30.486144374272296,False,False
60_13_inksac,Metal_A,inksac,79.13,Detected,no,3.691352529514493,40.03095456103941,False,False
65_10_inksac,Metal_A,inksac,79.97,Detected,no,3.516789704622431,47.2938556257277,False,False
60_13_stomach,Metal_A,stomach,1729.81,Detected,no,3.691352529514493,1690.7109545610394,False,False
65_10_stomach,Metal_A,stomach,3418.73,Detected,no,3.516789704622431,3386.053855625728,False,False
60_07_muscle,Metal_A,muscle,0.78,BLOD,no,3.691352529514493,-38.319045438960586,False,False
60_07_liver,Metal_A,liver,2.72,Detected,no,3.691352529514493,-36.37904543896059,False,False
60_07_stomach,Metal_A,stomach,4197.81,Detected,no,3.691352529514493,4158.71095456104,False,False
65_14_muscle,Metal_A,muscle,0.84,BLOD,no,3.516789704622431,-31.836144374272298,False,False
65_14_liver,Metal_A,liver,1.87,Detected,no,3.516789704622431,-30.806144374272296,False,False
65_14_stomach,Metal_A,stomach,1206.27,Detected,no,3.516789704622431,1173.5938556257277,False,False
28_04_muscle,Metal_A,muscle,2.37,Detected,no,5.27518968323683,-192.0575423258521,False,False
28_04_liver,Metal_A,liver,124.66,Detected,no,5.27518968323683,-69.7675423258521,False,False
