Country,Date,Year,Month,Industrial_Index,Agricultural_Index
Argentina,2018-10-01,2018,10,91.37948717948719,70.80229226361033
Argentina,2018-11-01,2018,11,85.77948717948718,70.80229226361033
Argentina,2018-12-01,2018,12,84.97948717948718,70.80229226361033
Argentina,2019-01-01,2019,1,88.57948717948719,81.43266475644701
Argentina,2019-02-01,2019,2,91.37948717948719,81.43266475644701
Argentina,2019-03-01,2019,3,85.67948717948718,81.43266475644701
Argentina,2019-04-01,2019,4,90.87948717948719,208.59598853868198
Argentina,2019-05-01,2019,5,92.87948717948719,208.59598853868198
Argentina,2019-06-01,2019,6,92.57948717948717,208.59598853868198
Argentina,2019-07-01,2019,7,98.07948717948717,72.20630372492838
Argentina,2019-08-01,2019,8,93.37948717948719,72.20630372492838
Argentina,2019-09-01,2019,9,94.77948717948718,72.20630372492838
Argentina,2019-10-01,2019,10,97.97948717948718,71.20343839541549
Argentina,2019-11-01,2019,11,95.47948717948718,71.20343839541549
Argentina,2019-12-01,2019,12,101.17948717948718,71.20343839541549
Argentina,2020-01-01,2020,1,99.67948717948718,76.41833810888255
Argentina,2020-02-01,2020,2,99.07948717948717,76.41833810888255
Argentina,2020-03-01,2020,3,83.27948717948718,76.41833810888255
Argentina,2020-04-01,2020,4,66.57948717948717,184.7277936962751
Argentina,2020-05-01,2020,5,73.57948717948719,184.7277936962751
Argentina,2020-06-01,2020,6,93.57948717948717,184.7277936962751
Argentina,2020-07-01,2020,7,93.27948717948718,69.79942693409743
Argentina,2020-08-01,2020,8,92.57948717948717,69.79942693409743
Argentina,2020-09-01,2020,9,103.47948717948718,69.79942693409743
Argentina,2020-10-01,2020,10,96.97948717948718,71.20343839541549
Argentina,2020-11-01,2020,11,104.27948717948718,71.20343839541549
Argentina,2020-12-01,2020,12,105.37948717948719,71.20343839541549
Argentina,2021-01-01,2021,1,104.27948717948718,80.22922636103154
Argentina,2021-02-01,2021,2,101.47948717948718,80.22922636103154
Argentina,2021-03-01,2021,3,132.9794871794872,80.22922636103154
Argentina,2021-04-01,2021,4,155.9794871794872,178.51002865329517
Argentina,2021-05-01,2021,5,130.0794871794872,178.51002865329517
Argentina,2021-06-01,2021,6,119.17948717948718,178.51002865329517
Argentina,2021-07-01,2021,7,112.27948717948718,70.20057306590259
Argentina,2021-08-01,2021,8,113.77948717948718,70.20057306590259
Argentina,2021-09-01,2021,9,109.57948717948719,70.20057306590259
Argentina,2021-10-01,2021,10,103.87948717948719,77.82234957020059
Argentina,2021-11-01,2021,11,109.57948717948719,77.82234957020059
Argentina,2021-12-01,2021,12,110.17948717948718,77.82234957020059
Brazil,2018-10-01,2018,10,100.85435897435897,66.85256186824677
Brazil,2018-11-01,2018,11,98.95435897435897,66.85256186824677
Brazil,2018-12-01,2018,12,96.35435897435897,66.85256186824677
Brazil,2019-01-01,2019,1,98.25435897435898,120.04182642035552
Brazil,2019-02-01,2019,2,102.45435897435897,120.04182642035552
Brazil,2019-03-01,2019,3,94.05435897435898,120.04182642035552
Brazil,2019-04-01,2019,4,96.55435897435898,111.25827814569536
Brazil,2019-05-01,2019,5,108.13435897435897,111.25827814569536
Brazil,2019-06-01,2019,6,94.35435897435897,111.25827814569536
Brazil,2019-07-01,2019,7,97.65435897435897,94.6671314046706
Brazil,2019-08-01,2019,8,98.05435897435898,94.6671314046706
Brazil,2019-09-01,2019,9,101.25435897435898,94.6671314046706
Brazil,2019-10-01,2019,10,101.45435897435897,65.8766120599512
Brazil,2019-11-01,2019,11,98.45435897435897,65.8766120599512
Brazil,2019-12-01,2019,12,98.85435897435897,65.8766120599512
